%,OP Code Joined,Device_Time_Sum_us,Ops_Count,Op_Category,Flops_min,Flops_max,Flops_mean,Flops_std,Flops_weighted_mean
28.96,SliceDeviceOperation (in0:dram_interleaved),8786.11,19,TM,,,,,
24.28,PointToPointOp (in0:dram_interleaved),7365.24,12,Other,,,,,
8.60,MatmulDeviceOperation (in0:dram_interleaved),2607.63,3,Compute,6.74,13.91,10.65,3.63,12.55
7.52,FillPadDeviceOperation (in0:dram_interleaved),2281.09,1,TM,,,,,
6.04,BinaryNgDeviceOperation (in0:dram_interleaved),1833.25,10,Compute,,,,,
5.90,UntilizeDeviceOperation (in0:dram_interleaved),1788.36,5,TM,,,,,
4.83,ReshapeViewDeviceOperation (in0:dram_interleaved),1465.29,8,Other,,,,,
2.63,AllGatherDeviceOperation (in0:dram_interleaved),797.15,4,Other,,,,,
2.04,ScatterDeviceOperation (in0:dram_interleaved),617.60,2,Other,,,,,
1.95,ReduceScatterDeviceOperation (in0:dram_interleaved),590.67,2,DM,,,,,
1.60,FastReduceNCDeviceOperation (in0:dram_interleaved),484.47,1,Other,,,,,
1.53,UnaryNgDeviceOperation (in0:dram_interleaved),463.53,3,Other,,,,,
1.40,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),424.38,12,TM,,,,,
0.87,TilizeDeviceOperation (in0:dram_interleaved),265.25,2,TM,,,,,
0.60,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),182.31,16,TM,,,,,
0.37,LayerNormDeviceOperation (in0:dram_interleaved),112.28,1,Compute,,,,,
0.26,TopKDeviceOperation (in0:dram_interleaved),79.78,1,Other,,,,,
0.25,CopyDeviceOperation (in0:dram_interleaved),74.53,8,DM,,,,,
0.19,RepeatDeviceOperation (in0:dram_interleaved),58.58,1,Other,,,,,
0.08,SoftmaxDeviceOperation (in0:dram_interleaved),23.25,1,Compute,,,,,
0.04,TypecastDeviceOperation (in0:dram_interleaved),13.43,4,TM,,,,,
0.03,ConcatDeviceOperation (in0:dram_interleaved),8.55,3,TM,,,,,
0.03,PermuteDeviceOperation (in0:dram_interleaved),7.97,3,TM,,,,,
0.01,TransposeDeviceOperation (in0:dram_interleaved),2.05,1,TM,,,,,
0.01,MeshPartitionDeviceOperation (in0:dram_interleaved),1.54,1,Other,,,,,
