%,OP Code Joined,Device_Time_Sum_us,Ops_Count,Op_Category,Flops_min,Flops_max,Flops_mean,Flops_std,Flops_weighted_mean
27.56,SliceDeviceOperation (in0:dram_interleaved),52748.83,114,TM,,,,,
23.02,PointToPointOp (in0:dram_interleaved),44053.03,72,Other,,,,,
10.23,MatmulDeviceOperation (in0:dram_interleaved),19581.05,32,Compute,0.44,13.92,8.71,3.37,11.43
7.15,FillPadDeviceOperation (in0:dram_interleaved),13686.65,6,TM,,,,,
5.84,BinaryNgDeviceOperation (in0:dram_interleaved),11168.34,80,Compute,,,,,
5.68,UntilizeDeviceOperation (in0:dram_interleaved),10863.00,31,TM,,,,,
4.59,ReshapeViewDeviceOperation (in0:dram_interleaved),8789.35,51,Other,,,,,
2.74,AllGatherDeviceOperation (in0:dram_interleaved),5236.82,31,Other,,,,,
1.94,ScatterDeviceOperation (in0:dram_interleaved),3705.66,12,Other,,,,,
1.85,ReduceScatterDeviceOperation (in0:dram_interleaved),3545.68,12,DM,,,,,
1.66,ArgMaxDeviceOperation (in0:dram_interleaved),3176.05,1,Other,,,,,
1.54,FastReduceNCDeviceOperation (in0:dram_interleaved),2955.95,12,Other,,,,,
1.46,UnaryNgDeviceOperation (in0:dram_interleaved),2801.32,20,Other,,,,,
1.37,TilizeWithValPaddingDeviceOperation (in0:dram_interleaved),2616.51,80,TM,,,,,
0.84,TilizeDeviceOperation (in0:dram_interleaved),1608.61,12,TM,,,,,
0.76,LayerNormDeviceOperation (in0:dram_interleaved),1458.37,13,Compute,,,,,
0.60,UntilizeWithUnpaddingDeviceOperation (in0:dram_interleaved),1138.91,101,TM,,,,,
0.25,TopKDeviceOperation (in0:dram_interleaved),478.42,6,Other,,,,,
0.23,CopyDeviceOperation (in0:dram_interleaved),446.45,48,DM,,,,,
0.19,RepeatDeviceOperation (in0:dram_interleaved),356.21,9,Other,,,,,
0.08,RotaryEmbeddingDeviceOperation (in0:l1_interleaved),153.61,12,Other,,,,,
0.08,SoftmaxDeviceOperation (in0:dram_interleaved),146.71,6,Compute,,,,,
0.06,SdpaDecodeDeviceOperation (in0:dram_interleaved),113.22,6,Other,,,,,
0.05,TypecastDeviceOperation (in0:dram_interleaved),93.58,29,TM,,,,,
0.04,PermuteDeviceOperation (in0:dram_interleaved),70.24,18,TM,,,,,
0.03,ConcatDeviceOperation (in0:dram_interleaved),62.12,20,TM,,,,,
0.03,PagedUpdateCacheDeviceOperation (in0:dram_interleaved),59.91,12,DM,,,,,
0.03,TernaryDeviceOperation (in0:dram_interleaved),50.64,2,TM,,,,,
0.02,ReshapeViewDeviceOperation (in0:l1_interleaved),41.57,6,Other,,,,,
0.02,NLPCreateQKVHeadsDecodeDeviceOperation (in0:dram_interleaved),33.25,6,Other,,,,,
0.02,EmbeddingsDeviceOperation (in0:dram_interleaved),29.63,1,Compute,,,,,
0.01,SliceDeviceOperation (in0:l1_interleaved),27.93,12,TM,,,,,
0.01,NLPConcatHeadsDecodeDeviceOperation (in0:height_sharded),22.33,6,TM,,,,,
0.01,ShardedToInterleavedDeviceOperation (in0:height_sharded),19.19,12,DM,,,,,
0.01,InterleavedToShardedDeviceOperation (in0:dram_interleaved),17.93,12,DM,,,,,
0.01,TransposeDeviceOperation (in0:dram_interleaved),13.74,6,TM,,,,,
0.01,MeshPartitionDeviceOperation (in0:dram_interleaved),13.01,6,Other,,,,,
0.00,ShardedToInterleavedDeviceOperation (in0:width_sharded),5.51,6,DM,,,,,
