Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'decode_1_start'.
Using operations until 'decode_1_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                                 Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 11472    0.0 %         TilizeWithValPaddingDeviceOperation                          15         3 μs                    1                                                     INT32 => INT32
 11516    0.2 %         BinaryNgDeviceOperation                                      24         2 μs     19,209 μs    120                                               INT32, INT32 => BF16
 11550    0.1 %         TypecastDeviceOperation                                      26         1 μs     14,440 μs      1                                                    INT32 => UINT32
 11571    0.1 %         ReshapeViewDeviceOperation                                   12         4 μs      8,081 μs      1                                                   UINT32 => UINT32
 11606    0.0 %         UntilizeWithUnpaddingDeviceOperation                         30         1 μs      5,719 μs      1                                                   UINT32 => UINT32
 11631    0.1 %         EmbeddingsDeviceOperation                                     7         6 μs     13,812 μs      1                                               UINT32, BF16 => BF16
 11656    0.0 %         TypecastDeviceOperation                                      11         2 μs      1,099 μs     28                                                       BF16 => FP32
 11685    0.1 %         LayerNormPreAllGatherDeviceOperation                          0        15 μs     13,124 μs      1                                                       FP32 => FP32
 11737    0.2 %         SliceDeviceOperation                                         23         1 μs     28,427 μs      1                                                       FP32 => FP32
 11769    0.7 %         AllGatherDeviceOperation                                      0        44 μs     78,494 μs     12                                                       FP32 => FP32
 11799    0.2 %         FillPadDeviceOperation                                       30         4 μs     30,029 μs      8                                                       FP32 => FP32
 11824    0.1 %         TransposeDeviceOperation                                      7         3 μs     10,338 μs    120                                                       FP32 => FP32
 11855    0.1 %         ReduceDeviceOperation                                         6         2 μs     14,963 μs     32                                                       FP32 => FP32
 11899    0.1 %         TransposeDeviceOperation                                     21         1 μs      9,187 μs    120                                                       FP32 => FP32
 11918    0.2 %         BinaryNgDeviceOperation                                       5         4 μs     18,434 μs    120                                                 FP32, FP32 => FP32
