Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'decode_1_start'.
Using operations until 'decode_1_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                                 Device   Device Time  Op-to-Op Gap   Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    23    0.0 %         AllGatherDeviceOperation                                      0       143 μs                    20                                                       FP32 => FP32
    56    0.0 %         ReshapeViewDeviceOperation                                   22        20 μs      11,824 μs    120                                                       FP32 => FP32
    88    0.0 %         UntilizeWithUnpaddingDeviceOperation                         22         8 μs      25,966 μs    103                                                       FP32 => FP32
    99    0.0 %         SliceDeviceOperation                                          0         1 μs       7,978 μs      1                                                       FP32 => FP32
   158    0.0 %         TilizeWithValPaddingDeviceOperation                          27        20 μs      16,728 μs      1                                                       FP32 => FP32
   176    0.0 %         UntilizeWithUnpaddingDeviceOperation                         14         5 μs      13,970 μs      1                                                       FP32 => FP32
   203    0.0 %         UntilizeWithUnpaddingDeviceOperation                          4         8 μs       1,454 μs    103                                                       FP32 => FP32
   243    0.0 %         SliceDeviceOperation                                         28         1 μs         732 μs      1                                                       FP32 => FP32
   278    0.0 %         TilizeWithValPaddingDeviceOperation                          31        20 μs       1,647 μs      1                                                       FP32 => FP32
   303    0.0 %         UntilizeWithUnpaddingDeviceOperation                         15         5 μs         143 μs      1                                                       FP32 => FP32
   336    0.0 %         UntilizeWithUnpaddingDeviceOperation                         14         9 μs         132 μs    103                                                       FP32 => FP32
   361    0.0 %         SliceDeviceOperation                                          9         1 μs         704 μs      1                                                       FP32 => FP32
   394    0.0 %         TilizeWithValPaddingDeviceOperation                           8        20 μs       1,414 μs      1                                                       FP32 => FP32
   422    0.0 %         UntilizeWithUnpaddingDeviceOperation                          3         5 μs         140 μs      1                                                       FP32 => FP32
   475    0.0 %         UntilizeWithUnpaddingDeviceOperation                         24         8 μs         134 μs    103                                                       FP32 => FP32
   494    0.0 %         SliceDeviceOperation                                          7         1 μs         653 μs      1                                                       FP32 => FP32
   530    0.0 %         TilizeWithValPaddingDeviceOperation                          12        20 μs       1,398 μs      1                                                       FP32 => FP32
   564    0.0 %         UntilizeWithUnpaddingDeviceOperation                         29         5 μs         145 μs      1                                                       FP32 => FP32
