WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-06-26 13:18:53.816 (   0.000s) [        D6ED4480]      dylib_platform.cc:47       1| DylibPlatform::SubclassInitialize
2025-06-26 13:18:53.818 (   0.001s) [        D6ED4480]     client_instance.cc:32       1| ClientInstance::ClientInstance
2025-06-26 13:18:53.818 (   0.001s) [        D6ED4480]              client.cc:18       1| TTClientInstance::TTClientInstance
2025-06-26 13:18:53.818 (   0.001s) [        D6ED4480]     client_instance.cc:53       1| ClientInstance::Initialize
2025-06-26 13:18:57.247 (   3.431s) [        D6ED4480]     client_instance.cc:98       1| [HET DEBUG] Number of devices: 8
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]              stubs.inc:113   WARN| STUB: PJRT_Client_TopologyDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]      error_instance.cc:49       1| ErrorInstance::PJRT_Error_Message
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]      error_instance.cc:58       1| ErrorInstance::PJRT_Error_GetCode
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]      error_instance.cc:43       1| ErrorInstance::PJRT_Error_Destroy
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     client_instance.cc:247      1| ClientInstance::PJRT_Client_PlatformVersion
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     client_instance.cc:227      1| ClientInstance::PJRT_Client_PlatformName
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     client_instance.cc:259      1| ClientInstance::PJRT_Client_Devices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     client_instance.cc:272      1| ClientInstance::PJRT_Client_AddressableDevices
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     client_instance.cc:322      1| ClientInstance::PJRT_Client_AddressableMemories
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-06-26 13:18:57.248 (   3.431s) [        D6ED4480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
