WARNING:root:Defaulting to PJRT_DEVICE=CPU
2025-07-04 09:47:16.221 (   0.000s) [        1517A480]      dylib_platform.cc:47       1| DylibPlatform::SubclassInitialize
2025-07-04 09:47:16.222 (   0.001s) [        1517A480]     client_instance.cc:38       1| ClientInstance::ClientInstance
2025-07-04 09:47:16.222 (   0.001s) [        1517A480]              client.cc:18       1| TTClientInstance::TTClientInstance
2025-07-04 09:47:16.222 (   0.001s) [        1517A480]     client_instance.cc:59       1| ClientInstance::Initialize
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]              stubs.inc:112   WARN| STUB: PJRT_Client_TopologyDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]      error_instance.cc:49       1| ErrorInstance::PJRT_Error_Message
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]      error_instance.cc:58       1| ErrorInstance::PJRT_Error_GetCode
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]      error_instance.cc:43       1| ErrorInstance::PJRT_Error_Destroy
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     client_instance.cc:340      1| ClientInstance::PJRT_Client_PlatformVersion
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     client_instance.cc:320      1| ClientInstance::PJRT_Client_PlatformName
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     client_instance.cc:352      1| ClientInstance::PJRT_Client_Devices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     client_instance.cc:365      1| ClientInstance::PJRT_Client_AddressableDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     client_instance.cc:415      1| ClientInstance::PJRT_Client_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]        api_bindings.cc:76       1| PJRT_Plugin_Attributes
2025-07-04 09:47:19.644449: W torch_xla/csrc/runtime/profiler.cpp:88] Profiler API not found for PJRT plugin
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
2025-07-04 09:47:19.644 (   3.423s) [        1517A480]  device_description.cc:44       1| DeviceDescription::PJRT_DeviceDescription_Id
