Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'layer_1_start'.
Using operations until 'attn_1_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                         Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 20040    0.0 %         LayerNormPreAllGatherDeviceOperation                  0        15 μs                    1                                                       FP32 => FP32
 20085    0.1 %         SliceDeviceOperation                                 14         1 μs        173 μs      1                                                       FP32 => FP32
 20124    0.8 %         AllGatherDeviceOperation                              0        44 μs        909 μs     12                                                       FP32 => FP32
 20144    0.1 %         FillPadDeviceOperation                                4         4 μs        114 μs      8                                                       FP32 => FP32
 20178    0.2 %         TransposeDeviceOperation                              6         3 μs        205 μs    120                                                       FP32 => FP32
 20221    0.1 %         ReduceDeviceOperation                                22         2 μs        185 μs     32                                                       FP32 => FP32
 20251    0.1 %         TransposeDeviceOperation                             31         1 μs        166 μs    120                                                       FP32 => FP32
 20295    0.2 %         BinaryNgDeviceOperation                              16         4 μs        271 μs    120                                                 FP32, FP32 => FP32
 20325    0.2 %         BinaryNgDeviceOperation                              18         4 μs        254 μs    120                                                 FP32, FP32 => FP32
 20350    0.2 %         UnaryDeviceOperation                                 21         2 μs        236 μs    120                                                       FP32 => FP32
 20367    0.2 %         BinaryNgDeviceOperation                               8         9 μs        253 μs    120                                                 FP32, FP32 => FP32
 20400    0.2 %         BinaryNgDeviceOperation                               4        13 μs        249 μs    120                                                 FP32, FP32 => BF16
 20441    0.2 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304                29        18 μs        200 μs     72  125 GB/s  24.4 %   7.3 TFLOPs    3.6 %  HiFi2 BF16 x BFP8 => BF16
 20485    0.1 %         SliceDeviceOperation                                 18         1 μs        168 μs     18                                                       BF16 => BF16
 20488    0.1 %         SliceDeviceOperation                                  0         1 μs        153 μs      2                                                       BF16 => BF16
 20549    0.1 %         SliceDeviceOperation                                 18         1 μs        183 μs     48                                                       BF16 => BF16
 20571    0.1 %         SliceDeviceOperation                                 31         1 μs        152 μs      4                                                       BF16 => BF16
