Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'layer_0_start'.
Using operations until 'layer_0_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                         Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 11716    0.0 %         LayerNormPreAllGatherDeviceOperation                  0        15 μs                    1                                                       FP32 => FP32
 11771    0.2 %         SliceDeviceOperation                                 20         1 μs      8,142 μs      1                                                       FP32 => FP32
 11800    1.8 %         AllGatherDeviceOperation                              0        41 μs     72,623 μs     12                                                       FP32 => FP32
 11825    0.8 %         FillPadDeviceOperation                               14         4 μs     32,545 μs      8                                                       FP32 => FP32
 11867    0.3 %         TransposeDeviceOperation                             20         3 μs     10,527 μs    120                                                       FP32 => FP32
 11898    0.4 %         ReduceDeviceOperation                                21         2 μs     14,699 μs     32                                                       FP32 => FP32
 11913    0.2 %         TransposeDeviceOperation                             10         1 μs      8,807 μs    120                                                       FP32 => FP32
 11971    0.4 %         BinaryNgDeviceOperation                              16         4 μs     15,651 μs    120                                                 FP32, FP32 => FP32
 11980    0.3 %         BinaryNgDeviceOperation                               4         4 μs     14,274 μs    120                                                 FP32, FP32 => FP32
 12008    1.0 %         UnaryDeviceOperation                                 11         2 μs     42,733 μs    120                                                       FP32 => FP32
 12055    0.2 %         BinaryNgDeviceOperation                              31         8 μs      7,792 μs    120                                                 FP32, FP32 => FP32
 12072    0.4 %         BinaryNgDeviceOperation                              11        13 μs     15,823 μs    120                                                 FP32, FP32 => BF16
 12130    0.5 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304                17        18 μs     18,724 μs     72  124 GB/s  24.3 %   7.2 TFLOPs    3.6 %  HiFi2 BF16 x BFP8 => BF16
 12144    0.2 %         SliceDeviceOperation                                 15         1 μs      6,963 μs     18                                                       BF16 => BF16
 12171    0.0 %         SliceDeviceOperation                                  8         1 μs      1,925 μs      2                                                       BF16 => BF16
 12216    0.1 %         SliceDeviceOperation                                 23         1 μs      2,927 μs     48                                                       BF16 => BF16
 12233    0.0 %         SliceDeviceOperation                                 10         1 μs      2,000 μs      4                                                       BF16 => BF16
 12280    1.9 %         AllGatherDeviceOperation                              0        43 μs     77,110 μs     12                                                       BF16 => BF16
 12306    0.4 %         FastReduceNCDeviceOperation                          13         2 μs     15,757 μs      4                                                       BF16 => BF16
 12330    0.0 %         TypecastDeviceOperation                               9         1 μs      1,808 μs      4                                                       BF16 => FP32
