Detected CSV format: v2.1 (with device arch and worker core count)
Using architecture from CSV: blackhole
Architecture: blackhole, Worker cores: 120
Sorting CSV by 'HOST START TS' column...
Using operations after 'layer_0_start'.
Using operations until 'attn_0_end'.
Detected data from 32 devices. Merging device data...

🚀 Performance Report 🚀
========================

ID      Total %  Bound  OP Code                                         Device   Device Time  Op-to-Op Gap  Cores  DRAM      DRAM %  FLOPs        FLOPs %  Math Fidelity            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 11716    0.0 %         LayerNormPreAllGatherDeviceOperation                  0        15 μs                    1                                                       FP32 => FP32
 11751    0.2 %         SliceDeviceOperation                                  3         1 μs      7,815 μs      1                                                       FP32 => FP32
 11800    2.3 %         AllGatherDeviceOperation                              0        43 μs     74,630 μs     12                                                       FP32 => FP32
 11821    0.9 %         FillPadDeviceOperation                                5         4 μs     30,554 μs      8                                                       FP32 => FP32
 11860    0.3 %         TransposeDeviceOperation                             28         3 μs     10,441 μs    120                                                       FP32 => FP32
 11881    0.5 %         ReduceDeviceOperation                                10         2 μs     16,166 μs     32                                                       FP32 => FP32
 11926    0.3 %         TransposeDeviceOperation                             30         1 μs      8,921 μs    120                                                       FP32 => FP32
 11952    0.5 %         BinaryNgDeviceOperation                              15         4 μs     16,568 μs    120                                                 FP32, FP32 => FP32
 11981    0.4 %         BinaryNgDeviceOperation                               5         4 μs     14,099 μs    120                                                 FP32, FP32 => FP32
 12018    1.3 %         UnaryDeviceOperation                                 13         2 μs     43,232 μs    120                                                       FP32 => FP32
 12037    0.2 %         BinaryNgDeviceOperation                               1         8 μs      7,822 μs    120                                                 FP32, FP32 => FP32
 12098    0.5 %         BinaryNgDeviceOperation                              17        13 μs     16,513 μs    120                                                 FP32, FP32 => BF16
 12102    0.6 %   SLOW  MatmulDeviceOperation 32 x 896 x 2304                 2        18 μs     19,024 μs     72  125 GB/s  24.3 %   7.3 TFLOPs    3.6 %  HiFi2 BF16 x BFP8 => BF16
 12136    0.2 %         SliceDeviceOperation                                 11         1 μs      7,126 μs     18                                                       BF16 => BF16
 12183    0.1 %         SliceDeviceOperation                                 31         1 μs      1,916 μs      2                                                       BF16 => BF16
 12206    0.1 %         SliceDeviceOperation                                  6         1 μs      2,394 μs     48                                                       BF16 => BF16
 12259    0.1 %         SliceDeviceOperation                                 16         1 μs      1,884 μs      4                                                       BF16 => BF16
 12280    2.6 %         AllGatherDeviceOperation                              0        41 μs     84,096 μs     12                                                       BF16 => BF16
 12297    0.6 %         FastReduceNCDeviceOperation                          10         2 μs     19,732 μs      4                                                       BF16 => BF16
 12328    0.1 %         TypecastDeviceOperation                              11         1 μs      1,929 μs      4                                                       BF16 => FP32
 12357    0.1 %         ReshapeViewDeviceOperation                            1         7 μs      3,905 μs    120                                                       FP32 => FP32
 12392    0.5 %         LayerNormDeviceOperation                             11         8 μs     16,478 μs     32                                                 FP32, BF16 => FP32
 12435    1.6 %         TypecastDeviceOperation                              12         3 μs     50,980 μs    120                                                       FP32 => BF16
 12467    0.1 %         SliceDeviceOperation                                 12         2 μs      2,488 μs     64                                                       BF16 => BF16
 12508    0.1 %         TypecastDeviceOperation                              24         2 μs      2,736 μs     64                                                       BF16 => FP32
 12531    0.3 %         ReshapeViewDeviceOperation                           12         3 μs      8,712 μs     32                                                       FP32 => FP32
 12560    0.4 %         PermuteDeviceOperation                               15         2 μs     13,021 μs     32                                                       FP32 => FP32
 12603    0.2 %         SliceDeviceOperation                                 20         2 μs      6,543 μs     32                                                       FP32 => FP32
 12613    0.5 %         BinaryNgDeviceOperation                               1         2 μs     16,429 μs    120                                               INT32, INT32 => FP32
 12644    0.0 %         TypecastDeviceOperation                               0         1 μs      1,469 μs      1                                                       BF16 => FP32
 12681    0.0 %         TilizeWithValPaddingDeviceOperation                  10         3 μs        182 μs      1                                                     INT32 => INT32
 12721    0.4 %         TypecastDeviceOperation                              14         1 μs     13,193 μs      1                                                      INT32 => FP32
 12743    1.5 %         TernaryDeviceOperation                                3         2 μs     47,712 μs    120                                                 FP32, FP32 => FP32
 12788    0.5 %         TypecastDeviceOperation                              28         1 μs     15,468 μs      1                                                     FP32 => UINT32
 12813    0.1 %         UntilizeWithUnpaddingDeviceOperation                  5         1 μs      1,821 μs      1                                                   UINT32 => UINT32
 12867    0.2 %         EmbeddingsDeviceOperation                            16         1 μs      7,962 μs      1                                               UINT32, BF16 => BF16
 12880    0.4 %         TilizeWithValPaddingDeviceOperation                  15         3 μs     12,095 μs      1                                                       BF16 => BF16
 12922    0.2 %         ReshapeViewDeviceOperation                           21         4 μs      7,882 μs      1                                                       BF16 => BF16
 12955    0.2 %         SliceDeviceOperation                                 20         1 μs      5,600 μs      1                                                       BF16 => BF16
 12964    0.0 %         TypecastDeviceOperation                               0         1 μs      1,405 μs      1                                                       BF16 => FP32
 13019    0.5 %         BinaryNgDeviceOperation                              20         5 μs     15,600 μs    120                                                 FP32, FP32 => FP32
 13048    1.4 %         UntilizeWithUnpaddingDeviceOperation                 23        10 μs     45,860 μs     32                                                       FP32 => FP32
 13090    0.3 %         SliceDeviceOperation                                 17         7 μs     10,501 μs    120                                                       FP32 => FP32
 13115    0.4 %         TilizeWithValPaddingDeviceOperation                  20         5 μs     13,484 μs     32                                                       FP32 => FP32
 13152    0.4 %         UntilizeWithUnpaddingDeviceOperation                 19        10 μs     14,177 μs      1                                                       BF16 => BF16
 13162    0.3 %         SliceDeviceOperation                                  9         1 μs      8,148 μs     32                                                       BF16 => BF16
 13192    0.4 %         TilizeWithValPaddingDeviceOperation                  11         3 μs     12,436 μs      1                                                       BF16 => BF16
 13220    0.0 %         TypecastDeviceOperation                               0         1 μs      1,204 μs      1                                                       BF16 => FP32
 13252    1.4 %         TernaryDeviceOperation                                0         6 μs     45,191 μs    120                                                 FP32, FP32 => FP32
 13307    0.0 %         BinaryNgDeviceOperation                              20         5 μs      1,601 μs    120                                                 FP32, FP32 => FP32
 13339    0.0 %         TernaryDeviceOperation                               20         5 μs        255 μs    120                                                 FP32, FP32 => FP32
 13364    0.2 %         UntilizeWithUnpaddingDeviceOperation                 28        10 μs      6,068 μs     32                                                       FP32 => FP32
 13381    0.0 %         UntilizeWithUnpaddingDeviceOperation                  1        10 μs      1,396 μs     32                                                       FP32 => FP32
 13431    0.5 %         PermuteDeviceOperation                               31         4 μs     14,810 μs     32                                                       FP32 => FP32
 13446    0.0 %         PermuteDeviceOperation                                2         4 μs      1,297 μs     32                                                       FP32 => FP32
 13478    0.2 %         ConcatDeviceOperation                                 2         1 μs      7,264 μs     64                                                 FP32, FP32 => FP32
 13514    0.2 %         PermuteDeviceOperation                                9         3 μs      7,942 μs     32                                                       FP32 => FP32
 13544    0.2 %         TilizeWithValPaddingDeviceOperation                  11         5 μs      6,443 μs     32                                                       FP32 => FP32
 13581    0.2 %         ReshapeViewDeviceOperation                            5        62 μs      7,802 μs      2                                                       FP32 => FP32
 13605    1.5 %         UntilizeDeviceOperation                               1         3 μs     48,669 μs      1                                                       FP32 => FP32
 13647    0.3 %         SliceDeviceOperation                                  7         3 μs      9,109 μs     32                                                       FP32 => FP32
 13679    0.2 %         TilizeDeviceOperation                                 7         2 μs      5,940 μs      1                                                       FP32 => FP32
 13731    0.0 %         UntilizeDeviceOperation                              16         3 μs      1,113 μs      1                                                       FP32 => FP32
 13733    0.0 %         SliceDeviceOperation                                  1         3 μs      1,007 μs     32                                                       FP32 => FP32
