2025-12-04 19:54:13.849 (   0.000s) [        CE2D1B80]   plugin_attributes.cc:58       1| PluginAttributes::PJRT_Plugin_Initialize
2025-12-04 19:54:13.849 (   0.000s) [        CE2D1B80]     client_instance.cc:648      1| ClientInstance::PJRT_Client_Create
2025-12-04 19:54:13.851 (   0.002s) [        CE2D1B80]     client_instance.cc:182      1| ClientInstance::ClientInstance
2025-12-04 19:54:13.851 (   0.002s) [        CE2D1B80]     client_instance.cc:203      1| ClientInstance::Initialize
2025-12-04 19:55:14.789 (  60.940s) [        CE2D1B80]              stubs.inc:103   WARN| STUB: PJRT_Client_TopologyDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]      error_instance.cc:52       1| ErrorInstance::PJRT_Error_Message
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]      error_instance.cc:61       1| ErrorInstance::PJRT_Error_GetCode
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]      error_instance.cc:46       1| ErrorInstance::PJRT_Error_Destroy
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     client_instance.cc:702      1| ClientInstance::PJRT_Client_PlatformVersion
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     client_instance.cc:683      1| ClientInstance::PJRT_Client_PlatformName
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     client_instance.cc:713      1| ClientInstance::PJRT_Client_Devices
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.940s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:44       1| DeviceInstance::PJRT_Device_GetDescription
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]  device_description.cc:63       1| DeviceDescription::PJRT_DeviceDescription_Attributes
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     client_instance.cc:726      1| ClientInstance::PJRT_Client_AddressableDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     client_instance.cc:776      1| ClientInstance::PJRT_Client_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     device_instance.cc:71       1| DeviceInstance::PJRT_Device_AddressableMemories
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
2025-12-04 19:55:14.790 (  60.941s) [        CE2D1B80]     memory_instance.cc:124      1| MemoryInstance::PJRT_Memory_AddressableByDevices
